 n     ch_hole col3 col4 col5
    1239 -0.68680266E+01 -0.10328735E-16 -0.73158567E+01  0.36684888E-16
    1240 -0.68688476E+01 -0.10328589E-16 -0.73158567E+01  0.36684888E-16
    1241 -0.68696290E+01 -0.10329198E-16 -0.73158567E+01  0.36684888E-16
    1242 -0.68702385E+01 -0.10329322E-16 -0.73158567E+01  0.36684888E-16
    1243 -0.68709695E+01 -0.10329447E-16 -0.73158567E+01  0.36684888E-16
    1244 -0.68715935E+01 -0.10329151E-16 -0.73158567E+01  0.36684888E-16
    1245 -0.68723124E+01 -0.10329451E-16 -0.73158567E+01  0.36684888E-16
    1246 -0.68729735E+01 -0.10328514E-16 -0.73158567E+01  0.36684888E-16
    1247 -0.68738021E+01 -0.10328534E-16 -0.73158567E+01  0.36684888E-16
    1248 -0.68745327E+01 -0.10328462E-16 -0.73158567E+01  0.36684888E-16
    1249 -0.68752592E+01 -0.10328277E-16 -0.73158567E+01  0.36684888E-16
    1250 -0.68760399E+01 -0.10328092E-16 -0.73158567E+01  0.36684888E-16
    1251 -0.68767049E+01 -0.10327955E-16 -0.73158567E+01  0.36684888E-16
    1252 -0.68773128E+01 -0.10327943E-16 -0.73158567E+01  0.36684888E-16
    1253 -0.68780919E+01 -0.10328216E-16 -0.73158567E+01  0.36684888E-16
    1254 -0.68787907E+01 -0.10328292E-16 -0.73158567E+01  0.36684888E-16
    1255 -0.68794269E+01 -0.10328089E-16 -0.73158567E+01  0.36684888E-16
    1256 -0.68800587E+01 -0.10328134E-16 -0.73158567E+01  0.36684888E-16
    1257 -0.68807304E+01 -0.10328167E-16 -0.73158567E+01  0.36684888E-16
    1258 -0.68814854E+01 -0.10328265E-16 -0.73158567E+01  0.36684888E-16
    1259 -0.68822181E+01 -0.10328411E-16 -0.73158567E+01  0.36684888E-16
    1260 -0.68828993E+01 -0.10328822E-16 -0.73158567E+01  0.36684888E-16
    1261 -0.68836254E+01 -0.10328777E-16 -0.73158567E+01  0.36684888E-16
    1262 -0.68843002E+01 -0.10328826E-16 -0.73158567E+01  0.36684888E-16
    1263 -0.68848156E+01 -0.10328827E-16 -0.73158567E+01  0.36684888E-16
    1264 -0.68855063E+01 -0.10328786E-16 -0.73158567E+01  0.36684888E-16
    1265 -0.68862029E+01 -0.10328761E-16 -0.73158567E+01  0.36684888E-16
    1266 -0.68868311E+01 -0.10328592E-16 -0.73158567E+01  0.36684888E-16
    1267 -0.68874351E+01 -0.10328828E-16 -0.73158567E+01  0.36684888E-16
    1268 -0.68881274E+01 -0.10328974E-16 -0.73158567E+01  0.36684888E-16
    1269 -0.68888068E+01 -0.10329147E-16 -0.73158567E+01  0.36684888E-16
    1270 -0.68894959E+01 -0.10328993E-16 -0.73158567E+01  0.36684888E-16
    1271 -0.68900573E+01 -0.10328756E-16 -0.73158567E+01  0.36684888E-16
    1272 -0.68906732E+01 -0.10328446E-16 -0.73158567E+01  0.36684888E-16
    1273 -0.68914916E+01 -0.10328553E-16 -0.73158567E+01  0.36684888E-16
    1274 -0.68921562E+01 -0.10328721E-16 -0.73158567E+01  0.36684888E-16
    1275 -0.68929640E+01 -0.10328770E-16 -0.73158567E+01  0.36684888E-16
    1276 -0.68936047E+01 -0.10328703E-16 -0.73158567E+01  0.36684888E-16
    1277 -0.68943868E+01 -0.10328496E-16 -0.73158567E+01  0.36684888E-16
    1278 -0.68950438E+01 -0.10328672E-16 -0.73158567E+01  0.36684888E-16
    1279 -0.68957806E+01 -0.10328533E-16 -0.73158567E+01  0.36684888E-16
    1280 -0.68963945E+01 -0.10328646E-16 -0.73158567E+01  0.36684888E-16
