 n     ch_hole col3 col4 col5
     264 -0.84904340E-01 -0.10033922E-17 -0.76075473E+01  0.56990402E-17
     265 -0.84945398E-01 -0.10033590E-17 -0.76075473E+01  0.56990402E-17
     266 -0.11102154E+00 -0.99988805E-18 -0.76075473E+01  0.56990402E-17
     267 -0.12343668E+00 -0.10222803E-17 -0.76075473E+01  0.56990402E-17
     268 -0.14124055E+00 -0.10432354E-17 -0.76075473E+01  0.56990402E-17
     269 -0.14395174E+00 -0.10239873E-17 -0.76075473E+01  0.56990402E-17
     270 -0.16836997E+00 -0.10270352E-17 -0.76075473E+01  0.56990402E-17
     271 -0.19249373E+00 -0.10180678E-17 -0.76075473E+01  0.56990402E-17
     272 -0.21616803E+00 -0.91827677E-18 -0.76075473E+01  0.56990402E-17
     273 -0.24297504E+00 -0.93479266E-18 -0.76075473E+01  0.56990402E-17
     274 -0.25960335E+00 -0.99632607E-18 -0.76075473E+01  0.56990402E-17
     275 -0.27613716E+00 -0.98844140E-18 -0.76075473E+01  0.56990402E-17
     276 -0.29497623E+00 -0.95998836E-18 -0.76075473E+01  0.56990402E-17
     277 -0.31030657E+00 -0.91081836E-18 -0.76075473E+01  0.56990402E-17
     278 -0.32126044E+00 -0.92121694E-18 -0.76075473E+01  0.56990402E-17
     279 -0.33267967E+00 -0.94617820E-18 -0.76075473E+01  0.56990402E-17
     280 -0.34441211E+00 -0.98245497E-18 -0.76075473E+01  0.56990402E-17
     281 -0.35495646E+00 -0.97017934E-18 -0.76075473E+01  0.56990402E-17
     282 -0.37005991E+00 -0.96565040E-18 -0.76075473E+01  0.56990402E-17
     283 -0.37868636E+00 -0.96399308E-18 -0.76075473E+01  0.56990402E-17
     284 -0.38914975E+00 -0.96251288E-18 -0.76075473E+01  0.56990402E-17
     285 -0.39965476E+00 -0.95831844E-18 -0.76075473E+01  0.56990402E-17
     286 -0.41395421E+00 -0.96305019E-18 -0.76075473E+01  0.56990402E-17
     287 -0.42518590E+00 -0.99697435E-18 -0.76075473E+01  0.56990402E-17
     288 -0.43366971E+00 -0.10098337E-17 -0.76075473E+01  0.56990402E-17
     289 -0.44505252E+00 -0.10161109E-17 -0.76075473E+01  0.56990402E-17
     290 -0.45470515E+00 -0.10540361E-17 -0.76075473E+01  0.56990402E-17
     291 -0.46141435E+00 -0.10405767E-17 -0.76075473E+01  0.56990402E-17
     292 -0.46897051E+00 -0.10319249E-17 -0.76075473E+01  0.56990402E-17
     293 -0.47607729E+00 -0.10129674E-17 -0.76075473E+01  0.56990402E-17
     294 -0.48361292E+00 -0.10106121E-17 -0.76075473E+01  0.56990402E-17
     295 -0.49145439E+00 -0.10142171E-17 -0.76075473E+01  0.56990402E-17
     296 -0.49969467E+00 -0.11232825E-17 -0.76075473E+01  0.56990402E-17
     297 -0.50533159E+00 -0.11253941E-17 -0.76075473E+01  0.56990402E-17
     298 -0.51640921E+00 -0.11217541E-17 -0.76075473E+01  0.56990402E-17
     299 -0.52339016E+00 -0.11235093E-17 -0.76075473E+01  0.56990402E-17
     300 -0.53228631E+00 -0.11176627E-17 -0.76075473E+01  0.56990402E-17
     301 -0.54033425E+00 -0.10987280E-17 -0.76075473E+01  0.56990402E-17
     302 -0.54950582E+00 -0.10873114E-17 -0.76075473E+01  0.56990402E-17
     303 -0.55364345E+00 -0.10901140E-17 -0.76075473E+01  0.56990402E-17
     304 -0.56020574E+00 -0.11005388E-17 -0.76075473E+01  0.56990402E-17
     305 -0.56898870E+00 -0.11077280E-17 -0.76075473E+01  0.56990402E-17
     306 -0.57644016E+00 -0.11134510E-17 -0.76075473E+01  0.56990402E-17
     307 -0.58250472E+00 -0.11045156E-17 -0.76075473E+01  0.56990402E-17
     308 -0.58762656E+00 -0.10937166E-17 -0.76075473E+01  0.56990402E-17
     309 -0.59130128E+00 -0.11002276E-17 -0.76075473E+01  0.56990402E-17
     310 -0.59586611E+00 -0.11066837E-17 -0.76075473E+01  0.56990402E-17
     311 -0.60152659E+00 -0.11129496E-17 -0.76075473E+01  0.56990402E-17
     312 -0.61317658E+00 -0.11085557E-17 -0.76075473E+01  0.56990402E-17
     313 -0.62192431E+00 -0.11086627E-17 -0.76075473E+01  0.56990402E-17
     314 -0.62673575E+00 -0.11226524E-17 -0.76075473E+01  0.56990402E-17
     315 -0.63137808E+00 -0.11129666E-17 -0.76075473E+01  0.56990402E-17
     316 -0.63654221E+00 -0.11103478E-17 -0.76075473E+01  0.56990402E-17
     317 -0.64438423E+00 -0.11062429E-17 -0.76075473E+01  0.56990402E-17
     318 -0.65159213E+00 -0.10975458E-17 -0.76075473E+01  0.56990402E-17
     319 -0.66231682E+00 -0.10817258E-17 -0.76075473E+01  0.56990402E-17
     320 -0.67030210E+00 -0.10883730E-17 -0.76075473E+01  0.56990402E-17
