 n     ch_hole col3
     631 -0.51184769E+01 -0.12816021E-17
     632 -0.51193391E+01 -0.12816457E-17
     633 -0.51200090E+01 -0.12816456E-17
     634 -0.51206332E+01 -0.12816605E-17
     635 -0.51212521E+01 -0.12816466E-17
     636 -0.51218254E+01 -0.12816305E-17
     637 -0.51229166E+01 -0.12816023E-17
     638 -0.51238417E+01 -0.12815956E-17
     639 -0.51246942E+01 -0.12815353E-17
     640 -0.51251737E+01 -0.12815338E-17
     641 -0.51255848E+01 -0.12815363E-17
     642 -0.51260427E+01 -0.12815251E-17
     643 -0.51265876E+01 -0.12815157E-17
     644 -0.51270970E+01 -0.12815442E-17
     645 -0.51276985E+01 -0.12815373E-17
     646 -0.51281246E+01 -0.12815478E-17
     647 -0.51286761E+01 -0.12815691E-17
     648 -0.51293718E+01 -0.12815797E-17
     649 -0.51302342E+01 -0.12816188E-17
     650 -0.51309647E+01 -0.12816082E-17
     651 -0.51315511E+01 -0.12816078E-17
     652 -0.51322587E+01 -0.12816106E-17
     653 -0.51329343E+01 -0.12816488E-17
     654 -0.51337568E+01 -0.12816028E-17
     655 -0.51341077E+01 -0.12816099E-17
     656 -0.51343337E+01 -0.12815961E-17
     657 -0.51346585E+01 -0.12815958E-17
     658 -0.51352667E+01 -0.12816054E-17
     659 -0.51358428E+01 -0.12815879E-17
     660 -0.51367087E+01 -0.12815545E-17
     661 -0.51370923E+01 -0.12815621E-17
     662 -0.51378214E+01 -0.12815745E-17
     663 -0.51381751E+01 -0.12815817E-17
     664 -0.51390600E+01 -0.12815279E-17
     665 -0.51397583E+01 -0.12815237E-17
     666 -0.51407336E+01 -0.12815939E-17
     667 -0.51411043E+01 -0.12815952E-17
     668 -0.51416110E+01 -0.12815862E-17
     669 -0.51420365E+01 -0.12816009E-17
     670 -0.51429927E+01 -0.12816003E-17
     671 -0.51435124E+01 -0.12816172E-17
     672 -0.51439621E+01 -0.12816400E-17
     673 -0.51443895E+01 -0.12816279E-17
     674 -0.51447392E+01 -0.12816298E-17
     675 -0.51452537E+01 -0.12816276E-17
     676 -0.51456003E+01 -0.12816238E-17
     677 -0.51462470E+01 -0.12816475E-17
     678 -0.51472628E+01 -0.12816934E-17
     679 -0.51479626E+01 -0.12816836E-17
     680 -0.51489572E+01 -0.12816464E-17
     681 -0.51497731E+01 -0.12816572E-17
     682 -0.51503339E+01 -0.12816505E-17
     683 -0.51511546E+01 -0.12816336E-17
     684 -0.51519482E+01 -0.12816482E-17
     685 -0.51529868E+01 -0.12817211E-17
     686 -0.51538150E+01 -0.12817545E-17
     687 -0.51543086E+01 -0.12817115E-17
     688 -0.51553968E+01 -0.12817346E-17
     689 -0.51563022E+01 -0.12816994E-17
     690 -0.51568043E+01 -0.12817027E-17
