n     ch_hole col3
    2384 -0.57136968E+01 -0.12996955E-17
    2385 -0.57138449E+01 -0.12996905E-17
    2386 -0.57140319E+01 -0.12996875E-17
    2387 -0.57141551E+01 -0.12996953E-17
    2388 -0.57143631E+01 -0.12997022E-17
    2389 -0.57145258E+01 -0.12996960E-17
    2390 -0.57146286E+01 -0.12996959E-17
    2391 -0.57147991E+01 -0.12996903E-17
    2392 -0.57149662E+01 -0.12996908E-17
    2393 -0.57151519E+01 -0.12996927E-17
    2394 -0.57152993E+01 -0.12996952E-17
    2395 -0.57154682E+01 -0.12996983E-17
    2396 -0.57155591E+01 -0.12996925E-17
    2397 -0.57157681E+01 -0.12996959E-17
    2398 -0.57158906E+01 -0.12996956E-17
    2399 -0.57160245E+01 -0.12996972E-17
    2400 -0.57161415E+01 -0.12996994E-17
