 n     ch_hole col3 
    3282 -0.58366121E+01 -0.12923028E-17
    3283 -0.58366696E+01 -0.12923014E-17
    3284 -0.58367025E+01 -0.12923024E-17
    3285 -0.58367485E+01 -0.12923012E-17
    3286 -0.58368696E+01 -0.12922984E-17
    3287 -0.58369466E+01 -0.12922991E-17
    3288 -0.58370913E+01 -0.12923063E-17
    3289 -0.58371918E+01 -0.12923047E-17
    3290 -0.58373308E+01 -0.12923071E-17
    3291 -0.58374019E+01 -0.12923061E-17
    3292 -0.58375523E+01 -0.12923064E-17
    3293 -0.58377130E+01 -0.12923142E-17
    3294 -0.58378424E+01 -0.12923134E-17
    3295 -0.58380236E+01 -0.12923102E-17
    3296 -0.58381454E+01 -0.12923101E-17
    3297 -0.58382964E+01 -0.12923101E-17
    3298 -0.58384615E+01 -0.12923092E-17
    3299 -0.58385777E+01 -0.12923118E-17
    3300 -0.58386995E+01 -0.12923102E-17
    3301 -0.58388121E+01 -0.12923093E-17
    3302 -0.58389228E+01 -0.12923091E-17
    3303 -0.58390453E+01 -0.12923041E-17
    3304 -0.58391653E+01 -0.12923006E-17
    3305 -0.58392565E+01 -0.12923013E-17
    3306 -0.58393495E+01 -0.12923020E-17
    3307 -0.58394035E+01 -0.12923016E-17
    3308 -0.58394633E+01 -0.12923017E-17
    3309 -0.58395351E+01 -0.12923030E-17
    3310 -0.58396390E+01 -0.12923021E-17
    3311 -0.58397101E+01 -0.12923008E-17
    3312 -0.58397884E+01 -0.12923000E-17
    3313 -0.58398966E+01 -0.12923002E-17
    3314 -0.58399770E+01 -0.12922991E-17
    3315 -0.58400564E+01 -0.12922994E-17
    3316 -0.58401933E+01 -0.12923014E-17
    3317 -0.58402710E+01 -0.12923033E-17
    3318 -0.58403730E+01 -0.12923035E-17
    3319 -0.58404689E+01 -0.12923047E-17
    3320 -0.58405469E+01 -0.12923087E-17
    3321 -0.58406416E+01 -0.12923082E-17
    3322 -0.58407377E+01 -0.12923082E-17
    3323 -0.58408605E+01 -0.12923055E-17
    3324 -0.58409314E+01 -0.12923055E-17
    3325 -0.58409990E+01 -0.12923062E-17
    3326 -0.58410677E+01 -0.12923062E-17
    3327 -0.58411771E+01 -0.12923071E-17
    3328 -0.58412610E+01 -0.12923090E-17
    3329 -0.58413607E+01 -0.12923093E-17
