n ch_hole col3
    1498 -0.69847636E+01 -0.93475005E-17
    1499 -0.69853172E+01 -0.93473578E-17
    1500 -0.69858353E+01 -0.93475775E-17
    1501 -0.69863129E+01 -0.93476415E-17
    1502 -0.69868442E+01 -0.93474811E-17
    1503 -0.69874199E+01 -0.93478592E-17
    1504 -0.69879482E+01 -0.93479165E-17
    1505 -0.69884996E+01 -0.93480045E-17
    1506 -0.69890030E+01 -0.93480106E-17
    1507 -0.69895606E+01 -0.93480708E-17
    1508 -0.69901161E+01 -0.93481862E-17
    1509 -0.69906367E+01 -0.93481290E-17
    1510 -0.69911406E+01 -0.93481080E-17
    1511 -0.69916409E+01 -0.93481365E-17
    1512 -0.69921803E+01 -0.93482372E-17
    1513 -0.69927244E+01 -0.93480986E-17
    1514 -0.69932714E+01 -0.93479212E-17
    1515 -0.69939490E+01 -0.93480305E-17
    1516 -0.69944784E+01 -0.93480635E-17
    1517 -0.69950698E+01 -0.93480990E-17
    1518 -0.69956523E+01 -0.93481168E-17
    1519 -0.69963187E+01 -0.93484660E-17
    1520 -0.69968858E+01 -0.93483575E-17
    1521 -0.69973592E+01 -0.93483580E-17
    1522 -0.69978531E+01 -0.93483943E-17
    1523 -0.69983270E+01 -0.93485110E-17
    1524 -0.69987808E+01 -0.93484330E-17
    1525 -0.69993467E+01 -0.93486683E-17
    1526 -0.69999317E+01 -0.93488883E-17
    1527 -0.70003996E+01 -0.93487805E-17
    1528 -0.70008384E+01 -0.93488979E-17
    1529 -0.70012558E+01 -0.93488808E-17
    1530 -0.70016960E+01 -0.93489790E-17
    1531 -0.70022077E+01 -0.93490496E-17
    1532 -0.70027261E+01 -0.93490226E-17
    1533 -0.70032508E+01 -0.93490012E-17
    1534 -0.70038042E+01 -0.93486601E-17
    1535 -0.70043035E+01 -0.93485879E-17
    1536 -0.70047859E+01 -0.93485874E-17
    1537 -0.70053491E+01 -0.93486640E-17
    1538 -0.70058134E+01 -0.93487193E-17
    1539 -0.70062473E+01 -0.93488735E-17
    1540 -0.70067447E+01 -0.93489320E-17
    1541 -0.70072267E+01 -0.93487517E-17
    1542 -0.70077214E+01 -0.93487535E-17
    1543 -0.70082394E+01 -0.93487530E-17
    1544 -0.70086982E+01 -0.93488180E-17
    1545 -0.70091479E+01 -0.93489270E-17
    1546 -0.70096768E+01 -0.93489719E-17
    1547 -0.70102036E+01 -0.93487666E-17
    1548 -0.70107001E+01 -0.93487274E-17
    1549 -0.70112368E+01 -0.93486776E-17
    1550 -0.70117255E+01 -0.93486673E-17
    1551 -0.70121807E+01 -0.93487848E-17
    1552 -0.70126215E+01 -0.93486923E-17
    1553 -0.70129780E+01 -0.93486971E-17
    1554 -0.70134981E+01 -0.93487161E-17
    1555 -0.70139712E+01 -0.93486394E-17
    1556 -0.70144809E+01 -0.93485124E-17
    1557 -0.70148719E+01 -0.93484550E-17
    1558 -0.70153766E+01 -0.93484447E-17
    1559 -0.70157947E+01 -0.93484771E-17
    1560 -0.70162764E+01 -0.93484721E-17
    1561 -0.70167366E+01 -0.93485768E-17
    1562 -0.70172030E+01 -0.93485934E-17
    1563 -0.70176107E+01 -0.93486372E-17
    1564 -0.70180579E+01 -0.93484534E-17
    1565 -0.70184712E+01 -0.93483587E-17
    1566 -0.70190129E+01 -0.93483218E-17
    1567 -0.70196115E+01 -0.93483030E-17
    1568 -0.70201393E+01 -0.93484689E-17
    1569 -0.70206715E+01 -0.93482900E-17
    1570 -0.70211825E+01 -0.93484024E-17
    1571 -0.70216680E+01 -0.93485834E-17
    1572 -0.70220745E+01 -0.93485321E-17
    1573 -0.70224978E+01 -0.93486869E-17
    1574 -0.70229867E+01 -0.93485458E-17
    1575 -0.70234714E+01 -0.93485944E-17
    1576 -0.70239176E+01 -0.93485318E-17
    1577 -0.70243404E+01 -0.93486510E-17
    1578 -0.70248211E+01 -0.93484910E-17
    1579 -0.70253217E+01 -0.93485088E-17
    1580 -0.70258190E+01 -0.93483925E-17
